gene,type
ENSG00000000003,disease
ENSG00000000005,disease
ENSG00000000419,disease
ENSG00000000457,disease
ENSG00000000460,non-disease
ENSG00000000938,disease
ENSG00000000971,disease
ENSG00000001036,disease
ENSG00000001084,disease
ENSG00000001460,non-disease
ENSG00000001461,non-disease
ENSG00000001497,non-disease
ENSG00000001561,disease
ENSG00000001617,disease
ENSG00000001626,disease
ENSG00000001629,disease
ENSG00000001630,disease
ENSG00000001631,disease
ENSG00000002016,disease
ENSG00000002330,disease
ENSG00000002549,disease
ENSG00000002586,disease
ENSG00000002587,disease
ENSG00000002726,disease
ENSG00000002745,disease
ENSG00000002746,disease
ENSG00000002822,disease
ENSG00000002834,disease
ENSG00000002919,non-disease
ENSG00000002933,non-disease
ENSG00000003056,disease
ENSG00000003137,disease
ENSG00000003147,disease
ENSG00000003249,disease
ENSG00000003393,disease
ENSG00000003400,disease
ENSG00000003402,disease
ENSG00000003436,disease
ENSG00000003509,non-disease
ENSG00000003756,disease
ENSG00000003987,disease
ENSG00000003989,disease
ENSG00000004139,disease
ENSG00000004399,non-disease
ENSG00000004455,disease
ENSG00000004468,disease
ENSG00000004478,disease
ENSG00000004487,disease
ENSG00000004534,disease
ENSG00000004660,disease
ENSG00000004700,disease
ENSG00000004766,disease
ENSG00000004776,disease
ENSG00000004777,non-disease
ENSG00000004779,disease
ENSG00000004799,disease
ENSG00000004809,disease
ENSG00000004838,non-disease
ENSG00000004846,disease
ENSG00000004848,disease
ENSG00000004864,disease
ENSG00000004866,disease
ENSG00000004897,disease
ENSG00000004939,disease
ENSG00000004948,disease
ENSG00000004961,disease
ENSG00000004975,disease
ENSG00000005001,non-disease
ENSG00000005020,disease
ENSG00000005022,non-disease
ENSG00000005059,disease
ENSG00000005073,disease
ENSG00000005100,disease
ENSG00000005102,disease
ENSG00000005108,disease
ENSG00000005156,disease
ENSG00000005175,non-disease
ENSG00000005187,disease
ENSG00000005189,non-disease
ENSG00000005194,non-disease
ENSG00000005238,non-disease
ENSG00000005243,non-disease
ENSG00000005249,disease
ENSG00000005302,disease
ENSG00000005379,disease
ENSG00000005381,disease
ENSG00000005421,disease
ENSG00000005436,non-disease
ENSG00000005448,non-disease
ENSG00000005469,disease
ENSG00000005471,disease
ENSG00000005483,disease
ENSG00000005486,non-disease
ENSG00000005513,disease
ENSG00000005700,disease
ENSG00000005801,non-disease
ENSG00000005810,disease
ENSG00000005812,non-disease
ENSG00000005844,disease
ENSG00000005882,disease
ENSG00000005884,disease
ENSG00000005893,disease
ENSG00000005961,disease
ENSG00000005981,non-disease
ENSG00000006007,non-disease
ENSG00000006015,non-disease
ENSG00000006016,disease
ENSG00000006025,disease
ENSG00000006042,disease
ENSG00000006047,disease
ENSG00000006059,non-disease
ENSG00000006071,disease
ENSG00000006116,disease
ENSG00000006118,non-disease
ENSG00000006125,disease
ENSG00000006128,disease
ENSG00000006194,non-disease
ENSG00000006210,disease
ENSG00000006282,non-disease
ENSG00000006283,disease
ENSG00000006327,disease
ENSG00000006377,disease
ENSG00000006432,disease
ENSG00000006453,disease
ENSG00000006459,disease
ENSG00000006468,disease
ENSG00000006530,disease
ENSG00000006555,non-disease
ENSG00000006576,disease
ENSG00000006606,disease
ENSG00000006607,disease
ENSG00000006611,disease
ENSG00000006634,disease
ENSG00000006638,disease
ENSG00000006652,disease
ENSG00000006695,disease
ENSG00000006704,disease
ENSG00000006712,disease
ENSG00000006715,disease
ENSG00000006740,disease
ENSG00000006744,disease
ENSG00000006747,disease
ENSG00000006756,non-disease
ENSG00000006757,disease
ENSG00000006831,disease
ENSG00000006837,disease
ENSG00000007001,disease
ENSG00000007038,non-disease
ENSG00000007047,disease
ENSG00000007062,disease
ENSG00000007080,non-disease
ENSG00000007168,disease
ENSG00000007171,disease
ENSG00000007174,disease
ENSG00000007202,disease
ENSG00000007216,disease
ENSG00000007237,disease
ENSG00000007255,disease
ENSG00000007264,non-disease
ENSG00000007306,non-disease
ENSG00000007312,disease
ENSG00000007314,disease
ENSG00000007341,non-disease
ENSG00000007350,disease
ENSG00000007372,disease
ENSG00000007376,non-disease
ENSG00000007384,disease
ENSG00000007392,disease
ENSG00000007402,non-disease
ENSG00000007516,disease
