Gene	Symbol	Uniprot	Gene Name	Pathway	Protein Class	DSI	DPI	# Of Diseases	Gene	Source	Gene	Source	Gene	# Of SNPs	Source	gene	# Of Genes	Source	gene	Source
7124	TNF	P01375	tumor necrosis factor	Developmental Biology; Immune System; Signal Transduction	signaling molecule	0.24693190934652	1.0	1524	7124	ALL	7124	ALL	7124	147	ALL	7124	15984	ALL	7124	ALL
7157	TP53	P04637	tumor protein p53	Cell Cycle; Cellular responses to stress; DNA Repair; Gene Expression; Hemostasis; Programmed Cell Death; Signal Transduction	transcription factor	0.243832751404729	0.925925925925926	1472	7157	ALL	7157	ALL	7157	200	ALL	7157	15605	ALL	7157	ALL
3569	IL6	P05231	interleukin 6	Cellular responses to stress; Immune System; Signal Transduction	signaling molecule	0.268030453751988	1.0	1260	3569	ALL	3569	ALL	3569	124	ALL	3569	15405	ALL	3569	ALL
7422	VEGFA	P15692	vascular endothelial growth factor A	Cellular responses to stress; Developmental Biology; Hemostasis; Signal Transduction	signaling molecule	0.286762044606362	0.962962962962963	1035	7422	ALL	7422	ALL	7422	78	ALL	7422	14904	ALL	7422	ALL
3553	IL1B	P01584	interleukin 1, beta	Immune System	signaling molecule	0.296382006647444	1.0	960	3553	ALL	3553	ALL	3553	80	ALL	3553	14960	ALL	3553	ALL
3586	IL10	P22301	interleukin 10	null	signaling molecule	0.295995243217235	1.0	951	3586	ALL	3586	ALL	3586	92	ALL	3586	14838	ALL	3586	ALL
7040	TGFB1	P01137	transforming growth factor, beta 1	Developmental Biology; Extracellular matrix organization; Hemostasis; Signal Transduction	signaling molecule	0.316382819295854	1.0	800	7040	ALL	7040	ALL	7040	59	ALL	7040	15418	ALL	7040	ALL
1029	CDKN2A	P42771;Q8N726	cyclin-dependent kinase inhibitor 2A	Cell Cycle; Cellular responses to stress; Metabolism of proteins	null	0.308556390278988	1.0	798	1029	ALL	1029	ALL	1029	132	ALL	1029	14322	ALL	1029	ALL
596	BCL2	P10415	B-cell CLL/lymphoma 2	Immune System; Programmed Cell Death	signaling molecule	0.311796668913324	0.925925925925926	794	596	ALL	596	ALL	596	34	ALL	596	14836	ALL	596	ALL
3458	IFNG	P01579	interferon, gamma	Immune System	signaling molecule	0.314370849146568	0.962962962962963	784	3458	ALL	3458	ALL	3458	62	ALL	3458	15271	ALL	3458	ALL
1956	EGFR	P00533	epidermal growth factor receptor	Developmental Biology; Immune System; Signal Transduction	null	0.316695803588941	0.888888888888889	758	1956	ALL	1956	ALL	1956	56	ALL	1956	14637	ALL	1956	ALL
4524	MTHFR	P42898	methylenetetrahydrofolate reductase (NAD(P)H)	Metabolism	transferase; oxidoreductase; lyase	0.326719632602636	0.925925925925926	758	4524	ALL	4524	ALL	4524	144	ALL	4524	15025	ALL	4524	ALL
1636	ACE	P12821	angiotensin I converting enzyme	Metabolism of proteins	null	0.333853523122534	0.925925925925926	749	1636	ALL	1636	ALL	1636	68	ALL	1636	15116	ALL	1636	ALL
3630	INS	P01308	insulin	Developmental Biology; Metabolism; Metabolism of proteins; Signal Transduction; Vesicle-mediated transport	signaling molecule	0.321834744742397	0.962962962962963	744	3630	ALL	3630	ALL	3630	179	ALL	3630	14950	ALL	3630	ALL
3123	HLA-DRB1	P01912;P01911;Q29974	major histocompatibility complex, class II, DR beta 1	Immune System	defense/immunity protein	0.319233840196678	1.0	742	3123	ALL	3123	ALL	3123	43	ALL	3123	14318	ALL	3123	ALL
348	APOE	P02649	apolipoprotein E	Metabolism; Signal Transduction; Vesicle-mediated transport	null	0.332024101369947	1.0	729	348	ALL	348	ALL	348	115	ALL	348	14643	ALL	348	ALL
5743	PTGS2	P35354	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	Metabolism	oxidoreductase	0.330226006876555	0.925925925925926	714	5743	ALL	5743	ALL	5743	48	ALL	5743	14540	ALL	5743	ALL
4318	MMP9	P14780	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	Developmental Biology; Extracellular matrix organization; Signal Transduction	null	0.328108163943723	0.888888888888889	708	4318	ALL	4318	ALL	4318	30	ALL	4318	14576	ALL	4318	ALL
3576	CXCL8	P10145	chemokine (C-X-C motif) ligand 8	Cellular responses to stress; Metabolism of proteins; Signal Transduction	signaling molecule	0.330404437085317	0.925925925925926	668	3576	ALL	3576	ALL	3576	28	ALL	3576	14438	ALL	3576	ALL
2099	ESR1	P03372	estrogen receptor 1	Gene Expression; Signal Transduction	null	0.342104824834057	0.888888888888889	633	2099	ALL	2099	ALL	2099	140	ALL	2099	15328	ALL	2099	ALL
3565	IL4	P05112	interleukin 4	null	null	0.337610852499222	0.962962962962963	633	3565	ALL	3565	ALL	3565	34	ALL	3565	14314	ALL	3565	ALL
3552	IL1A	P01583	interleukin 1, alpha	Cellular responses to stress; Immune System	signaling molecule	0.341309319873417	0.962962962962963	631	3552	ALL	3552	ALL	3552	38	ALL	3552	14467	ALL	3552	ALL
7099	TLR4	O00206	toll-like receptor 4	Immune System; Programmed Cell Death	extracellular matrix protein; receptor	0.342705433635967	0.925925925925926	614	7099	ALL	7099	ALL	7099	108	ALL	7099	14372	ALL	7099	ALL
6347	CCL2	P13500	chemokine (C-C motif) ligand 2	Metabolism of proteins; Signal Transduction	signaling molecule	0.347427913731126	0.962962962962963	593	6347	ALL	6347	ALL	6347	25	ALL	6347	14602	ALL	6347	ALL
1437	CSF2	P04141	colony stimulating factor 2 (granulocyte-macrophage)	Developmental Biology; Hemostasis; Immune System; Signal Transduction	signaling molecule	0.347008726936555	0.962962962962963	578	1437	ALL	1437	ALL	1437	21	ALL	1437	14140	ALL	1437	ALL
2944	GSTM1	P09488	glutathione S-transferase mu 1	Metabolism	null	0.352152914004189	0.962962962962963	575	2944	ALL	2944	ALL	2944	53	ALL	2944	15330	ALL	2944	ALL
2064	ERBB2	P04626	erb-b2 receptor tyrosine kinase 2	Developmental Biology; Immune System; Signal Transduction	null	0.346383067771239	0.962962962962963	564	2064	ALL	2064	ALL	2064	39	ALL	2064	12794	ALL	2064	ALL
3479	IGF1	P05019	insulin-like growth factor 1 (somatomedin C)	Hemostasis; Metabolism of proteins; Signal Transduction	signaling molecule	0.355955469202968	0.888888888888889	558	3479	ALL	3479	ALL	3479	28	ALL	3479	15136	ALL	3479	ALL
5728	PTEN	P60484	phosphatase and tensin homolog	Immune System; Metabolism; Signal Transduction	phosphatase; hydrolase	0.35062631792003	0.925925925925926	550	5728	ALL	5728	ALL	5728	136	ALL	5728	13788	ALL	5728	ALL
3557	IL1RN	P18510	interleukin 1 receptor antagonist	Immune System	signaling molecule	0.360612824682545	1.0	539	3557	ALL	3557	ALL	3557	46	ALL	3557	14995	ALL	3557	ALL
